date,t1_date,code,name,market,score,t_pct,t_amount,t_turnover,t_vol_ratio,t_close,entry_proxy,entry_time,exit_close,exit_time,t1_high,entry_bar_amount,gross_return,high_return,net_return,equity,n_candidates,no_intraday_before_pick
2026-04-27,2026-04-28,688268,688268,SH,101.84942591283419,2.94,3454400000.0,15.42,1.7098577337384036,182.0,211.96,2026-04-28 14:30:00,208.27,2026-04-28 15:00:00,213.07,240876589.7773,-0.017408945083978056,0.0052368371390827395,-0.018208945083978054,0.9817910549160219,1147,0
2026-04-28,2026-04-29,688268,688268,SH,126.18357268280516,14.43,3334829699.9999995,14.19,1.364232431816415,208.27,188.71,2026-04-29 14:30:00,190.23,2026-04-29 15:00:00,192.0,186089330.1547,0.008054687086004986,0.017434158232208175,0.007254687086004985,0.9889136418032765,1144,0
2026-04-29,2026-04-30,603318,603318,SH,93.38628233707287,5.59,2121320799.9999998,33.32,2.492614059681288,14.55,14.39,2026-04-30 14:30:00,14.26,2026-04-30 15:00:00,14.59,71654545.0058,-0.009034051424600453,0.013898540653231262,-0.009834051424600454,0.9791886141952941,1122,0
2026-04-30,2026-05-06,688515,688515,SH,77.06153105107308,13.42,1585714400.0,19.7,2.743808543322383,172.6,166.21,2026-05-06 14:30:00,166.73,2026-05-06 15:00:00,168.74,102713065.6165,0.0031285722880691758,0.015221707478491053,0.002328572288069176,0.9814687256671022,1182,0
2026-05-06,2026-05-07,688531,688531,SH,106.20562399965658,1.65,2647101200.0,19.13,2.9016780046286077,122.59,128.71,2026-05-07 14:30:00,128.0,2026-05-07 15:00:00,129.96,90115520.3607,-0.005516276901561756,0.00971175510838318,-0.006316276901561757,0.9752694974255658,1306,0
2026-05-07,2026-05-08,300571,300571,SZ,107.61845953180547,11.76,1957261200.0,30.58,1.7766120207627276,57.58,57.66,2026-05-08 14:30:00,58.0,2026-05-08 15:00:00,58.14,64847032.0195,0.00589663544918495,0.008324661810614087,0.00509663544918495,0.9802400905186538,1243,0
2026-05-08,2026-05-11,300819,300819,SZ,90.45192474000197,13.27,1322200799.9999998,12.46,2.6312289312261807,80.05,84.97,2026-05-11 14:30:00,85.74,2026-05-11 15:00:00,87.0,66227707.9258,0.009062021890078764,0.023890784982935065,0.008262021890078764,0.9883388556040518,1266,0
2026-05-11,2026-05-12,300819,300819,SZ,94.72824846519222,7.11,1343060900.0,11.78,2.055817333406521,85.74,83.35,2026-05-12 14:30:00,82.91,2026-05-12 15:00:00,83.42,82919336.6221,-0.00527894421115771,0.0008398320335933906,-0.00607894421115771,0.9823307988391152,1387,0
2026-05-12,2026-05-13,300983,300983,SZ,85.17995913640955,9.02,242536100.0,4.82,1.5635004510591477,47.96,48.43,2026-05-13 14:30:00,48.27,2026-05-13 15:00:00,48.55,22050069.8479,-0.003303737352880365,0.0024778030146603847,-0.004103737352880365,0.9782995712470344,1306,0
2026-05-13,2026-05-14,300449,300449,SZ,102.06191147380159,5.14,1665329200.0000002,35.95,16.83834201103285,12.06,11.01,2026-05-14 14:30:00,11.05,2026-05-14 15:00:00,11.11,62932578.05,0.0036330608537693543,0.009082652134423164,0.0028330608537693544,0.9810711534655938,1253,0
2026-05-14,2026-05-15,300965,300965,SZ,119.73230366842607,18.54,882078100.0,17.39,7.365015067720411,93.88,79.19,2026-05-15 14:30:00,78.01,2026-05-15 15:00:00,80.85,43562835.1765,-0.014900871322136577,0.020962242707412537,-0.015700871322136576,0.9656674815271704,1284,0
2026-05-15,2026-05-18,688146,688146,SH,121.89843748960604,3.14,4704174700.0,22.42,1.7647437211594788,145.55,133.49,2026-05-18 14:30:00,135.9,2026-05-18 15:00:00,135.9,190578983.8514,0.018053786800509286,0.018053786800509286,0.017253786800509287,0.982328902373625,1287,0
2026-05-18,2026-05-19,300959,300959,SZ,128.77074522392058,9.04,1727882800.0,18.05,1.4328621086486988,181.0,175.09,2026-05-19 14:30:00,176.38,2026-05-19 15:00:00,176.53,65414223.7654,0.007367639499685774,0.008224341767091303,0.006567639499685774,0.9887804844745371,1223,0
2026-05-19,2026-05-20,688507,688507,SH,127.13448674624554,18.04,2773508800.0,39.15,5.823496481283885,152.3,155.16,2026-05-20 14:30:00,155.3,2026-05-20 15:00:00,156.89,131391587.1316,0.0009022944057748283,0.011149780871358539,0.0001022944057748283,0.9888816311866383,1191,0
2026-05-20,2026-05-21,688143,688143,SH,116.6401393693017,8.2,2005729100.0,11.55,0.8050113612237583,142.39,130.66,2026-05-21 14:30:00,132.0,2026-05-21 15:00:00,134.88,113598127.7345,0.010255625287004522,0.03229756620235724,0.009455625287004521,0.998232125344341,1193,0
2026-05-21,2026-05-22,001259,001259,SZ,104.2268599571462,9.28,389580700.0,9.45,1.3085450072437064,88.0,79.2,2026-05-22 14:30:00,79.2,2026-05-22 15:00:00,79.2,3009599.9009,0.0,0.0,-0.0008,0.9974335396440656,1266,0
2026-05-22,2026-05-25,688610,688610,SH,86.78299041068168,15.83,648670100.0,8.11,1.353903866516082,205.0,198.95,2026-05-25 14:30:00,202.28,2026-05-25 15:00:00,202.28,27084552.1121,0.0167378738376478,0.0167378738376478,0.0159378738376478,1.0133305095603513,1179,0
